Id,SalePrice
1461,122103.50090894078
1462,155398.3068561037
1463,175032.3919217741
1464,180116.44268435164
1465,204131.6087398607
1466,170930.82432568792
1467,157931.0596863846
1468,159943.50572994057
1469,190038.522001318
1470,129854.39242746156
1471,200965.0207741291
1472,95461.48979821053
1473,94363.05122436333
1474,154819.49646223875
1475,137990.08192817855
1476,407464.26621065167
1477,277826.8030804449
1478,311162.1859673472
1479,286536.7801381316
1480,487172.15236938465
1481,319955.713639621
1482,213799.48548050062
1483,165842.68884343447
1484,174316.54081282948
1485,175527.4863719363
1486,193866.19196388798
1487,350948.9230992195
1488,239107.50636971547
1489,200610.2231616787
1490,222909.03029604096
1491,190933.7140049609
1492,89257.86571090599
1493,188818.81147847034
1494,292143.04746275593
1495,301955.2684912203
1496,235919.70895319796
1497,182223.8849723785
1498,165683.32842392576
1499,167733.28406916783
1500,146715.31065920467
1501,165761.6895035128
1502,159338.95545247864
1503,290292.3183184549
1504,228485.04841970635
1505,213225.85875140686
1506,191678.9681327535
1507,228042.6228604332
1508,195479.68987239987
1509,166041.67798007754
1510,145016.8372794377
1511,148873.27455812998
1512,178365.7064326372
1513,140476.07487614884
1514,166786.0136028231
1515,178321.25075625948
1516,163465.2600633269
1517,157512.957823132
1518,145284.85287860586
1519,223650.22225947247
1520,132093.53251065107
1521,135562.6591950684
1522,166989.91113192515
1523,107692.26859884932
1524,120870.03525575352
1525,123556.40931997653
1526,124794.30551774055
1527,105503.67337781997
1528,133699.61909079767
1529,146055.49911163756
1530,181220.5954302757
1531,116715.0458914651
1532,106179.70318801365
1533,153585.9166157742
1534,114665.84597607802
1535,149604.69062223186
1536,113075.48655276214
1537,75780.60633570334
1538,184302.28267086245
1539,221181.03471811014
1540,108956.72184029921
1541,138725.39372686812
1542,130337.58875270707
1543,214516.89243901716
1544,84190.96439006344
1545,109251.43221571602
1546,126799.91865906873
1547,139660.82868662983
1548,137303.36765055967
1549,111319.60817929308
1550,133980.68597471295
1551,123568.12727923918
1552,131290.5879423883
1553,156106.771849417
1554,109458.35637900772
1555,166263.89424213467
1556,81448.16925979877
1557,114725.7429147059
1558,101580.818266403
1559,95914.5277109477
1560,136645.53046881614
1561,135531.3113056537
1562,125308.47008185968
1563,123784.63942639106
1564,166086.2247425898
1565,150653.3984049774
1566,223801.20241495868
1567,79954.46780376193
1568,227519.9599197179
1569,129156.7532944708
1570,140244.03767538365
1571,123945.22537314416
1572,145447.33705578055
1573,255673.68104853414
1574,116215.90298810205
1575,242745.99590282232
1576,224554.98935450354
1577,189216.56583340323
1578,143801.55821176295
1579,139046.09976543192
1580,189748.49328313995
1581,148871.40922134317
1582,129567.05390647642
1583,341271.81867397466
1584,239930.64485880744
1585,143925.87235306634
1586,77986.2340904582
1587,104936.30167804894
1588,153852.48700508848
1589,104145.39397746495
1590,137534.0749837354
1591,99056.32837073925
1592,111662.25309315852
1593,131678.00009360776
1594,124369.01251689592
